ocaudill0,Obdulia,Caudill,Food Science & Human Nutrition,The Dean
rwalker0,Roger,Walker,Secondary Education: Chemistry,Scott
mniles6,Michelle,Niles,Teacher Education: Kinesiology - Physical Education (K-12),Scott
mhughey2,Maxwell,Hughey,Special Education,Scott
jcarson9,Janet,Carson,Arts and Entertainment Technology ,FAR
gdrain6,Gary,Drain,Teacher Education: Kinesiology - Physical Education (K-12),Snyder
kyork3,Kyle,York,Community Health,Skyline Tower
rwilliams4,Ruth,Williams,Computer Science and Anthropology,Scott
rweishaar2,Russell,Weishaar,Computer Science and Crop Sciences,Tower at Third
tslaugh8,Tracey,Slaugh,Portuguese,Scott
rmendez9,Robert,Mendez,Marketing,PAR
cbowen3,Calvin,Bowen,Teacher Education: French (K-12),The Dean
ddronet0,Dawn,Dronet,Lighting Design and Technology ,PAR
gwalker4,Glen,Walker,Finance + Data Science,Weston
dgutierrez9,Dorothy,Gutierrez,Computer Science and Music,ISR
ndowdy1,Nila,Dowdy,Aerospace Engineering,Tower at Third
mvolz4,Marcelle,Volz,Computer Science and Animal Sciences,The Dean
pwhite4,Phyllis,White,Agri-Accounting,Nugent
akeagle2,Amy,Keagle,Integrative Biology,The HERE
rpeterson6,Robert,Peterson,Musicology,309 Green
jsledge2,James,Sledge,Mathematics and Computer Science,Scott
wcady1,Walter,Cady,Lighting Design and Technology ,FAR
gjetton9,Gregory,Jetton,Computer Science and Anthropology,Tower at Third
dharris0,Dominic,Harris,Organizational and Community Leadership,Snyder
whunsicker9,William,Hunsicker,Scenic Design,309 Green
kstarkey2,Keith,Starkey,Economics,Bousfield
lpuryear3,Lorenzo,Puryear,Agri-Accounting,Tower at Third
fnorman3,Francisca,Norman,Lighting Design and Technology ,The Dean
cchambers0,Charles,Chambers,Music Voice Performance,ISR
jmurray1,Jacqueline,Murray,Scenic Technology,Tower at Third
lconnor6,Linda,Connor,Mathematics,Scott
gsanders1,Gordon,Sanders,Architectural Studies,Hopkins
kcagle8,Kayla,Cagle,"Policy, International Trade & Development",309 Green
jrussey0,John,Russey,Metropolitan Food and Environmental Systems,Tower at Third
gcase7,Gerald,Case,Actuarial Science,Tower at Third
jcunningham3,Jon,Cunningham,Computer Science and Geography & Geographic Information Science,309 Green
rcampbell9,Roy,Campbell,Latina/Latino Studies,Snyder
rcameron6,Roy,Cameron,Neural Engineering,Bousfield
tmark7,Tina,Mark,Chemistry,Bousfield
tlane6,Tammy,Lane,Comparative and World Literature,Skyline Tower
nherman3,Natalie,Herman,Economics,The HERE
hrobertson0,Hiram,Robertson,Political Science,Tower at Third
jsteward6,James,Steward,Supply Chain Management,The Dean
blopez5,Brenda,Lopez,Art Education (K-12),Scott
jroman3,Jonathan,Roman,Computer Science and Philosophy,Snyder
cguidry5,Charles,Guidry,Agricultural and Consumer Economics,Hopkins
tmiller4,Theresa,Miller,History of Art,Scott
jmaeda3,Julia,Maeda,Food Science & Human Nutrition,Nugent
jpratt5,Jayne,Pratt,Brain and Cognitive Science,Scott
asimmons2,Antonio,Simmons,Neuroscience,Skyline Tower
rpatel8,Rose,Patel,Computer Science and Geography & Geographic Information Science,Hopkins
rpearson1,Ryan,Pearson,Biology,FAR
gblount6,George,Blount,"Policy, International Trade & Development",ISR
sanguiano6,Shana,Anguiano,Dance (BA),Bousfield
khardwick9,Kimberly,Hardwick,"Computer Science and Education, Secondary Education",Tower at Third
lmartinez5,Leone,Martinez,"Policy, International Trade & Development",Nugent
rlynch2,Rose,Lynch,Philosophy,Scott
mmoss2,Matt,Moss,Crop Sciences,Skyline Tower
esimmons9,Elizabeth,Simmons,Geology,ISR
colsen8,Catarina,Olsen,Music Open Studies,ISR
mhicks0,Michael,Hicks,Neural Engineering,Hopkins
rmares5,Robert,Mares,Agronomy,ISR
dhadley7,Donna,Hadley,Plant Biotechnology,Suites at Third
sholmes5,Sara,Holmes,Finance,ISR
ejacob4,Elbert,Jacob,Molecular and Cellular Biology,Snyder
bfilgo1,Bart,Filgo,Organizational and Community Leadership,Snyder
rflannagan0,Rhonda,Flannagan,Brain and Cognitive Science,Nugent
mrandazzo6,Mamie,Randazzo,Actuarial Science,Weston
jabrams7,Justin,Abrams,Secondary Education: Mathematics (LAS),The Dean
keades4,Kristopher,Eades,Community Health,The HERE
kwood7,Kristina,Wood,Dance (BA),309 Green
sbaldwin3,Shane,Baldwin,History,Scott
toneal4,Tony,Oneal,Physics,309 Green
ccogswell4,Carl,Cogswell,Crop Sciences,Snyder
brapp3,Billy,Rapp,Speech and Hearing Science,Scott
jnoori2,Jonathan,Noori,Astronomy,ISR
jbradley6,Justin,Bradley,Scenic Design,ISR
